unit_key,channel,unit_id,is_mua,n_spikes,snr,isi_violation,band,lfp_channel,mrl,ppc,p_value,preferred_phase_deg,significant
ch0_unit1,0,1,True,141,2.54,3.57,delta,0,0.1623,0.0194,0.024432,105.4,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,1,0.1793,0.0252,0.010756,121.7,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,2,0.1881,0.0285,0.006827,105.3,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,3,0.1800,0.0255,0.010367,113.6,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,4,0.1962,0.0316,0.004383,102.0,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,5,0.1589,0.0183,0.028431,105.1,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,6,0.1686,0.0215,0.018195,111.5,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,7,0.1731,0.0230,0.014645,114.8,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,8,0.1769,0.0244,0.012143,109.6,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,9,0.1364,0.0116,0.072538,119.3,False
ch0_unit1,0,1,True,141,2.54,3.57,delta,10,0.1821,0.0262,0.009337,114.0,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,11,0.1674,0.0211,0.019264,119.4,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,12,0.1639,0.0199,0.022698,120.2,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,13,0.1722,0.0227,0.015289,119.3,True
ch0_unit1,0,1,True,141,2.54,3.57,delta,14,0.1509,0.0158,0.040323,118.8,True
ch0_unit1,0,1,True,141,2.54,3.57,theta,0,0.0663,-0.0027,0.538037,-44.2,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,1,0.0489,-0.0047,0.713965,-146.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,2,0.0520,-0.0044,0.682602,-66.0,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,3,0.0405,-0.0055,0.793929,-132.9,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,4,0.0460,-0.0050,0.742135,-72.2,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,5,0.0468,-0.0049,0.734230,-83.9,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,6,0.0430,-0.0053,0.770439,-78.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,7,0.0588,-0.0037,0.614247,-125.3,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,8,0.0612,-0.0034,0.589606,-52.3,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,9,0.0473,-0.0049,0.729729,-145.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,10,0.0677,-0.0025,0.524243,-42.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,11,0.0763,-0.0013,0.440381,-46.8,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,12,0.0715,-0.0020,0.486804,-45.1,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,13,0.0665,-0.0027,0.535616,-43.6,False
ch0_unit1,0,1,True,141,2.54,3.57,theta,14,0.0794,-0.0008,0.411258,-48.1,False
